Priority,State,County,Action,Phone,Email,Website,Instructions,Status,Notes,Date Completed
HIGH,AK,Aleutians East Borough,EMAIL_FOIA,(907) 383-2699,brosete@aeboro.org,,"Send FOIA email requesting current excess proceeds/surplus funds list for Aleutians East Borough, Alaska. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
HIGH,AK,Aleutians West Census Area,EMAIL_FOIA,(907) 269-8872,dan.nelson@alaska.gov,https://www.commerce.alaska.gov/web/dcra/OfficeoftheStateAssessor,"Send FOIA email requesting current excess proceeds/surplus funds list for Aleutians West Census Area, Alaska. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
HIGH,AK,Anchorage Borough,EMAIL_FOIA,(907) 343-6770,propappcs@muni.org,https://www.commerce.alaska.gov/web/dcra/OfficeoftheStateAssessor/TaxJurisdictions.aspx,"Send FOIA email requesting current excess proceeds/surplus funds list for Anchorage Borough, Alaska. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
HIGH,AK,Bethel Census Area,EMAIL_FOIA,(907) 543-2047,sgaroutte@kodiakak.us,https://publicrecords.netronline.com/state/AK/county/bethel,"Send FOIA email requesting current excess proceeds/surplus funds list for Bethel Census Area, Alaska. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
HIGH,AK,Bristol Bay Borough,EMAIL_FOIA,(907) 246-4224,clerk@bbbak.us,https://www.bristolbayboroughak.us/how_do_i/contact_us.php,"Send FOIA email requesting current excess proceeds/surplus funds list for Bristol Bay Borough, Alaska. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
MEDIUM,AK,Denali Borough,EMAIL_FOIA,(907) 683-1330,sgaroutte@kodiakak.us,https://www.commerce.alaska.gov/web/dcra/LocalGovernmentResourceDesk/,"Send FOIA email requesting current excess proceeds/surplus funds list for Denali Borough, Alaska. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
MEDIUM,AK,Dillingham Census Area,PHONE_REQUEST,(907) 842-5211,,https://www.dillinghamak.us/finance/page/property-tax-information,Call county office and request excess proceeds list. Ask: 1) Do you have an excess proceeds or surplus funds list? 2) Can you email it to claim@usforeclosurerecovery.com? 3) Is it available online?,NOT STARTED,,
MEDIUM,AK,Fairbanks North Star Borough,PHONE_REQUEST,(907) 459-1429,,https://www.fnsb.gov/166/Real-Property-Assessment-Tax-Information,Call county office and request excess proceeds list. Ask: 1) Do you have an excess proceeds or surplus funds list? 2) Can you email it to claim@usforeclosurerecovery.com? 3) Is it available online?,NOT STARTED,,
MEDIUM,AK,Haines Borough,EMAIL_FOIA,(907) 766-6400,dlambert@haines.ak.us,https://www.hainesalaska.gov/administration,"Send FOIA email requesting current excess proceeds/surplus funds list for Haines Borough, Alaska. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
MEDIUM,AK,Hoonah-Angoon,EMAIL_FOIA,(907) 945-3663,finance@cityofhoonah.org,https://alaska.propertychecker.com/hoonah-angoon-borough-county,"Send FOIA email requesting current excess proceeds/surplus funds list for Hoonah-Angoon, Alaska. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
